,name,prediction,real data
148,Ruby,Male,Female
149,Winifred,Male,Female
150,Alta,Female,Female
151,Celia,Female,Female
152,Christine,Female,Female
153,Beatrice,Female,Female
154,Birdie,Female,Female
155,Harriett,Male,Female
156,Mable,Female,Female
157,Myra,Female,Female
158,Sophie,Female,Female
159,Tillie,Female,Female
160,Isabel,Male,Female
161,Sylvia,Female,Female
162,Carolyn,Female,Female
163,Isabelle,Female,Female
164,Leila,Female,Female
165,Sally,Female,Female
166,Ina,Female,Female
167,Essie,Female,Female
168,Bertie,Female,Female
169,Nell,Male,Female
170,Alberta,Female,Female
171,Katharine,Female,Female
172,Lora,Female,Female
173,Rena,Female,Female
174,Mina,Female,Female
175,Rhoda,Female,Female
176,Mathilda,Female,Female
177,Abbie,Female,Female
178,Eula,Female,Female
179,Dollie,Female,Female
180,Hettie,Female,Female
181,Eunice,Female,Female
182,Fanny,Female,Female
183,Ola,Female,Female
184,Lenora,Female,Female
185,Adelaide,Female,Female
186,Christina,Female,Female
187,Lelia,Female,Female
188,Nelle,Female,Female
189,Sue,Female,Female
190,Johanna,Female,Female
191,Lilly,Female,Female
192,Lucinda,Female,Female
193,Minerva,Female,Female
194,Lettie,Female,Female
195,Roxie,Female,Female
196,Cynthia,Female,Female
197,Helena,Female,Female
198,Hilda,Female,Female
199,Hulda,Female,Female
200,Bernice,Female,Female
201,Genevieve,Male,Female
202,Jean,Male,Female
203,Cordelia,Female,Female
204,Marian,Male,Female
205,Francis,Male,Female
206,Jeanette,Female,Female
207,Adeline,Female,Female
208,Gussie,Female,Female
209,Leah,Female,Female
210,Lois,Male,Female
211,Lura,Female,Female
212,Mittie,Female,Female
213,Hallie,Female,Female
214,Isabella,Female,Female
215,Olga,Female,Female
216,Phoebe,Female,Female
217,Teresa,Female,Female
218,Hester,Male,Female
219,Lida,Female,Female
220,Lina,Female,Female
221,Winnie,Female,Female
222,Claudia,Female,Female
223,Marguerite,Female,Female
224,Vera,Female,Female
225,Cecelia,Female,Female
226,Bess,Male,Female
227,Emilie,Female,Female
228,John,Male,Female
229,Rosetta,Female,Female
230,Verna,Female,Female
231,Myrtie,Female,Female
232,Cecilia,Female,Female
233,Elva,Female,Female
234,Olivia,Female,Female
235,Ophelia,Female,Female
236,Georgie,Female,Female
237,Elnora,Female,Female
238,Violet,Female,Female
239,Adele,Female,Female
240,Lily,Female,Female
241,Linnie,Female,Female
242,Loretta,Female,Female
243,Madge,Female,Female
244,Polly,Female,Female
245,Virgie,Female,Female
246,Eugenia,Female,Female
247,Lucile,Female,Female
248,Lucille,Female,Female
249,Mabelle,Female,Female
250,Rosalie,Female,Female
251,Kittie,Female,Female
252,Meta,Female,Female
253,Angie,Female,Female
254,Dessie,Female,Female
255,Georgiana,Female,Female
256,Lila,Female,Female
257,Regina,Female,Female
258,Selma,Female,Female
259,Wilhelmina,Female,Female
260,Bridget,Male,Female
261,Lilla,Female,Female
262,Malinda,Female,Female
263,Vina,Female,Female
264,Freda,Female,Female
265,Gertie,Female,Female
266,Jeannette,Female,Female
267,Louella,Female,Female
268,Mandy,Female,Female
269,Roberta,Female,Female
270,Cassie,Female,Female
271,Corinne,Female,Female
272,Ivy,Female,Female
273,Melissa,Female,Female
274,Lyda,Female,Female
275,Naomi,Female,Female
276,Norma,Female,Female
277,Bell,Male,Female
278,Margie,Female,Female
279,Nona,Female,Female
280,Zella,Female,Female
281,Dovie,Female,Female
282,Elvira,Female,Female
283,Erma,Female,Female
284,Irma,Female,Female
285,Leota,Female,Female
286,William,Male,Female
287,Artie,Female,Female
288,Blanch,Male,Female
289,Charity,Female,Female
290,Lorena,Female,Female
291,Lucretia,Female,Female
292,Orpha,Female,Female
293,Alvina,Female,Female
294,Annette,Female,Female
295,Catharine,Female,Female
296,Elma,Female,Female
297,Geneva,Female,Female
298,Janet,Male,Female
299,Lee,Female,Female
300,Leora,Female,Female
301,Lona,Female,Female
302,Miriam,Male,Female
303,Zora,Female,Female
304,Linda,Female,Female
305,Octavia,Female,Female
306,Sudie,Female,Female
307,Zula,Female,Female
308,Adella,Female,Female
309,Alpha,Female,Female
310,Frieda,Female,Female
311,George,Female,Female
312,Joanna,Female,Female
313,Leonora,Female,Female
314,Priscilla,Female,Female
315,Tennie,Female,Female
316,Angeline,Female,Female
317,Docia,Female,Female
318,Ettie,Female,Female
319,Flossie,Female,Female
320,Hanna,Female,Female
321,Letha,Female,Female
322,Minta,Female,Female
323,Retta,Female,Female
324,Rosella,Female,Female
325,Adah,Male,Female
326,Berta,Female,Female
327,Elisabeth,Female,Female
328,Elise,Female,Female
329,Goldie,Female,Female
330,Leola,Female,Female
331,Margret,Female,Female
332,Adaline,Female,Female
333,Floy,Female,Female
334,Idella,Female,Female
335,Juanita,Female,Female
336,Lenna,Female,Female
337,Lucie,Female,Female
338,Missouri,Female,Female
339,Nola,Female,Female
340,Zoe,Female,Female
341,Eda,Female,Female
342,Isabell,Male,Female
343,James,Male,Female
344,Julie,Female,Female
345,Letitia,Female,Female
346,Madeline,Female,Female
347,Malissa,Female,Female
348,Mariah,Male,Female
349,Pattie,Female,Female
350,Vivian,Male,Female
351,Almeda,Female,Female
352,Aurelia,Female,Female
353,Claire,Female,Female
354,Dolly,Female,Female
355,Hazel,Male,Female
356,Jannie,Female,Female
357,Kathleen,Female,Female
358,Kathrine,Female,Female
359,Lavinia,Female,Female
360,Marietta,Female,Female
361,Melvina,Female,Female
362,Ona,Female,Female
363,Pinkie,Female,Female
364,Samantha,Female,Female
365,Susanna,Female,Female
366,Chloe,Female,Female
367,Donnie,Female,Female
368,Elsa,Female,Female
369,Gladys,Male,Female
370,Matie,Female,Female
371,Pearle,Female,Female
372,Vesta,Female,Female
373,Vinnie,Female,Female
374,Antoinette,Female,Female
375,Clementine,Female,Female
376,Edythe,Female,Female
377,Harriette,Female,Female
378,Libbie,Female,Female
379,Lilian,Female,Female
380,Lue,Female,Female
381,Lutie,Female,Female
382,Magdalena,Female,Female
383,Meda,Female,Female
384,Rita,Female,Female
385,Tena,Female,Female
386,Zelma,Female,Female
387,Adelia,Female,Female
388,Annetta,Female,Female
389,Antonia,Female,Female
390,Dona,Female,Female
391,Elizebeth,Female,Female
392,Georgianna,Female,Female
393,Gracie,Female,Female
394,Iona,Female,Female
395,Lessie,Female,Female
396,Leta,Female,Female
397,Liza,Female,Female
398,Mertie,Female,Female
399,Molly,Female,Female
400,Neva,Female,Female
401,Oma,Female,Female
402,Alida,Female,Female
403,Alva,Female,Female
404,Cecile,Female,Female
405,Cleo,Male,Female
406,Donna,Female,Female
407,Ellie,Female,Female
408,Ernestine,Female,Female
409,Evie,Female,Female
410,Frankie,Female,Female
411,Helene,Female,Female
412,Minna,Female,Female
413,Myrta,Female,Female
414,Prudence,Female,Female
415,Queen,Male,Female
416,Rilla,Female,Female
417,Savannah,Female,Female
418,Tessie,Female,Female
419,Tina,Female,Female
420,Agatha,Female,Female
421,America,Female,Female
422,Anita,Female,Female
423,Arminta,Female,Female
424,Dorothea,Female,Female
425,Ira,Female,Female
426,Luvenia,Female,Female
427,Marjorie,Female,Female
428,Maybelle,Female,Female
429,Mellie,Female,Female
430,Nan,Male,Female
431,Pearlie,Female,Female
432,Sidney,Male,Female
433,Velma,Female,Female
434,Clare,Male,Female
435,Constance,Female,Female
436,Dixie,Female,Female
437,Ila,Female,Female
438,Iola,Female,Female
439,Jimmie,Male,Female
440,Louvenia,Female,Female
441,Lucia,Female,Female
442,Ludie,Female,Female
443,Luna,Female,Female
444,Metta,Female,Female
445,Patsy,Female,Female
446,Phebe,Female,Female
447,Sophronia,Female,Female
448,Adda,Female,Female
449,Avis,Male,Female
450,Betsy,Female,Female
451,Bonnie,Female,Female
452,Cecil,Male,Female
453,Cordie,Female,Female
454,Emmaline,Female,Female
455,Ethelyn,Female,Female
456,Hortense,Male,Female
457,June,Female,Female
458,Louie,Female,Female
459,Lovie,Female,Female
460,Marcella,Female,Female
461,Melinda,Female,Female
462,Mona,Female,Female
463,Odessa,Female,Female
464,Veronica,Female,Female
465,Aimee,Female,Female
466,Annabel,Female,Female
467,Ava,Female,Female
468,Bella,Female,Female
469,Carolina,Female,Female
470,Cathrine,Female,Female
471,Christena,Female,Female
472,Clyde,Male,Female
473,Dena,Female,Female
474,Dolores,Male,Female
475,Eleanore,Female,Female
476,Elmira,Female,Female
477,Fay,Female,Female
478,Frank,Male,Female
479,Jenny,Male,Female
480,Kizzie,Female,Female
481,Lonnie,Female,Female
482,Loula,Female,Female
483,Magdalene,Female,Female
484,Mettie,Female,Female
485,Mintie,Female,Female
486,Peggy,Male,Female
487,Reba,Female,Female
488,Serena,Female,Female
489,Vida,Female,Female
490,Zada,Female,Female
491,Abigail,Male,Female
492,Celestine,Female,Female
493,Celina,Female,Female
494,Claudie,Female,Female
495,Clemmie,Male,Female
496,Connie,Female,Female
497,Daisie,Female,Female
498,Deborah,Female,Female
499,Dessa,Female,Female
500,Easter,Male,Female
501,Eddie,Female,Female
502,Emelia,Female,Female
503,Emmie,Female,Female
504,Imogene,Female,Female
505,India,Female,Female
506,Jeanne,Female,Female
507,Joan,Male,Female
508,Lenore,Female,Female
509,Liddie,Female,Female
510,Lotta,Female,Female
511,Mame,Female,Female
512,Nevada,Female,Female
513,Rachael,Male,Female
514,Sina,Female,Female
515,Willa,Female,Female
516,Aline,Female,Female
517,Beryl,Male,Female
518,Charles,Male,Female
519,Daisey,Female,Female
520,Dorcas,Male,Female
521,Edmonia,Female,Female
522,Effa,Female,Female
523,Eldora,Female,Female
524,Eloise,Female,Female
525,Emmer,Male,Female
526,Era,Female,Female
527,Gena,Female,Female
528,Henry,Male,Female
529,Iris,Male,Female
530,Izora,Female,Female
531,Lennie,Female,Female
532,Lissie,Female,Female
533,Mallie,Female,Female
534,Malvina,Female,Female
535,Mathilde,Female,Female
536,Mazie,Female,Female
537,Queenie,Female,Female
538,Robert,Male,Female
539,Rosina,Female,Female
540,Salome,Female,Female
541,Theodora,Female,Female
542,Therese,Female,Female
543,Vena,Female,Female
544,Wanda,Female,Female
545,Wilda,Female,Female
546,Altha,Female,Female
547,Anastasia,Female,Female
548,Besse,Female,Female
549,Bird,Male,Female
550,Birtie,Female,Female
551,Clarissa,Female,Female
552,Claude,Female,Female
553,Delilah,Male,Female
554,Diana,Female,Female
555,Emelie,Female,Female
556,Erna,Female,Female
557,Fern,Male,Female
558,Florida,Female,Female
559,Frona,Female,Female
560,Hilma,Female,Female
561,Joseph,Male,Female
562,Juliet,Male,Female
563,Leonie,Female,Female
564,Lugenia,Female,Female
565,Mammie,Female,Female
566,Manda,Female,Female
567,Manerva,Female,Female
568,Manie,Female,Female
569,Nella,Female,Female
570,Paulina,Female,Female
571,Philomena,Female,Female
572,Rae,Female,Female
573,Selina,Female,Female
574,Sena,Female,Female
575,Theodosia,Female,Female
576,Tommie,Female,Female
577,Una,Female,Female
578,Vernie,Female,Female
579,Adela,Female,Female
580,Althea,Female,Female
581,Amalia,Female,Female
582,Amber,Male,Female
583,Angelina,Female,Female
584,Annabelle,Female,Female
585,Anner,Male,Female
586,Arie,Female,Female
587,Clarice,Female,Female
588,Corda,Female,Female
589,Corrie,Female,Female
590,Dell,Male,Female
591,Dellar,Male,Female
592,Donie,Female,Female
593,Doris,Male,Female
594,Elda,Female,Female
595,Elinor,Male,Female
596,Emeline,Female,Female
597,Emilia,Female,Female
598,Esta,Female,Female
599,Estell,Male,Female
600,Etha,Female,Female
601,Fred,Male,Female
602,Hope,Male,Female
603,Indiana,Female,Female
604,Ione,Female,Female
605,Jettie,Female,Female
606,Johnnie,Female,Female
607,Josiephine,Female,Female
608,Kitty,Female,Female
609,Lavina,Female,Female
610,Leda,Female,Female
611,Letta,Female,Female
612,Mahala,Female,Female
613,Marcia,Female,Female
614,Margarette,Female,Female
615,Maudie,Female,Female
616,Maye,Female,Female
617,Norah,Female,Female
618,Oda,Female,Female
619,Patty,Female,Female
620,Paula,Female,Female
621,Permelia,Female,Female
622,Rosalia,Female,Female
623,Roxanna,Female,Female
624,Sula,Female,Female
625,Vada,Female,Female
626,Winnifred,Male,Female
627,Adline,Female,Female
628,Almira,Female,Female
629,Alvena,Female,Female
630,Arizona,Female,Female
631,Becky,Female,Female
632,Bennie,Female,Female
633,Bernadette,Female,Female
634,Camille,Female,Female
635,Cordia,Female,Female
636,Corine,Female,Female
637,Dicie,Female,Female
638,Dove,Female,Female
639,Drusilla,Female,Female
640,Elena,Female,Female
641,Elenora,Female,Female
642,Elmina,Female,Female
643,Ethyl,Female,Female
644,Evalyn,Female,Female
645,Evelina,Female,Female
646,Faye,Female,Female
647,Huldah,Male,Female
648,Idell,Male,Female
649,Inga,Female,Female
650,Irena,Female,Female
651,Jewell,Male,Female
652,Kattie,Female,Female
653,Lavenia,Female,Female
654,Leslie,Female,Female
655,Lovina,Female,Female
656,Lulie,Female,Female
657,Magnolia,Female,Female
658,Margeret,Female,Female
659,Margery,Female,Female
660,Media,Female,Female
661,Millicent,Male,Female
662,Nena,Female,Female
663,Ocie,Male,Female
664,Orilla,Female,Female
665,Osie,Female,Female
666,Pansy,Female,Female
667,Ray,Male,Female
668,Rosia,Female,Female
669,Rowena,Female,Female
670,Shirley,Female,Female
671,Tabitha,Female,Female
672,Thomas,Male,Female
673,Verdie,Female,Female
674,Walter,Male,Female
675,Zetta,Female,Female
676,Zoa,Female,Female
677,Zona,Female,Female
678,Albertina,Female,Female
679,Albina,Female,Female
680,Alyce,Female,Female
681,Amie,Female,Female
682,Angela,Female,Female
683,Annis,Female,Female
684,Carol,Male,Female
685,Carra,Female,Female
686,Clarence,Female,Female
687,Clarinda,Female,Female
688,Delphia,Female,Female
689,Dillie,Female,Female
690,Doshie,Female,Female
691,Drucilla,Female,Female
692,Etna,Female,Female
693,Eugenie,Female,Female
694,Eulalia,Female,Female
695,Eve,Female,Female
696,Felicia,Female,Female
697,Florance,Female,Female
698,Fronie,Female,Female
699,Geraldine,Female,Female
700,Gina,Female,Female
701,Glenna,Female,Female
702,Grayce,Male,Female
703,Hedwig,Male,Female
704,Jessica,Female,Female
705,Jossie,Female,Female
706,Katheryn,Female,Female
707,Katy,Female,Female
708,Lea,Female,Female
709,Leanna,Female,Female
710,Leitha,Female,Female
711,Leone,Female,Female
712,Lidie,Female,Female
713,Loma,Female,Female
714,Lular,Male,Female
715,Magdalen,Male,Female
716,Maymie,Female,Female
717,Minervia,Female,Female
718,Muriel,Male,Female
719,Neppie,Female,Female
720,Olie,Female,Female
721,Onie,Female,Female
722,Osa,Female,Female
723,Otelia,Female,Female
724,Paralee,Female,Female
725,Patience,Female,Female
726,Rella,Female,Female
727,Rillie,Female,Female
728,Rosanna,Female,Female
729,Theo,Male,Female
730,Tilda,Female,Female
731,Tishie,Female,Female
732,Tressa,Female,Female
733,Viva,Female,Female
734,Yetta,Female,Female
735,Zena,Female,Female
736,Zola,Female,Female
737,Abby,Male,Female
738,Aileen,Female,Female
739,Alba,Female,Female
740,Alda,Female,Female
741,Alla,Female,Female
742,Alverta,Female,Female
743,Ara,Female,Female
744,Ardelia,Female,Female
745,Ardella,Female,Female
746,Arrie,Female,Female
747,Arvilla,Female,Female
748,Augustine,Female,Female
749,Aurora,Female,Female
750,Bama,Female,Female
751,Bena,Female,Female
752,Byrd,Male,Female
753,Calla,Female,Female
754,Camilla,Female,Female
755,Carey,Female,Female
756,Carlotta,Female,Female
757,Celestia,Female,Female
758,Cherry,Male,Female
759,Cinda,Female,Female
760,Classie,Female,Female
761,Claudine,Female,Female
762,Clemie,Male,Female
763,Clifford,Male,Female
764,Clyda,Female,Female
765,Creola,Female,Female
766,Debbie,Female,Female
767,Dee,Female,Female
768,Dinah,Male,Female
769,Doshia,Female,Female
770,Ednah,Male,Female
771,Edyth,Male,Female
772,Eleanora,Female,Female
773,Electa,Female,Female
774,Eola,Female,Female
775,Erie,Female,Female
776,Eudora,Female,Female
777,Euphemia,Female,Female
778,Evalena,Female,Female
779,Evaline,Female,Female
780,Faith,Female,Female
781,Fidelia,Female,Female
782,Freddie,Female,Female
783,Golda,Female,Female
784,Harry,Male,Female
785,Helma,Female,Female
786,Hermine,Female,Female
787,Hessie,Female,Female
788,Ivah,Female,Female
789,Janette,Female,Female
790,Jennette,Female,Female
791,Joella,Female,Female
792,Kathryne,Female,Female
793,Lacy,Female,Female
794,Lanie,Female,Female
795,Lauretta,Female,Female
796,Leana,Female,Female
797,Leatha,Female,Female
798,Leo,Male,Female
799,Liller,Female,Female
800,Lillis,Female,Female
801,Louetta,Female,Female
802,Madie,Female,Female
803,Mai,Female,Female
804,Martina,Female,Female
805,Maryann,Male,Female
806,Melva,Female,Female
807,Mena,Female,Female
808,Mercedes,Male,Female
809,Merle,Female,Female
810,Mima,Female,Female
811,Minda,Female,Female
812,Monica,Female,Female
813,Nealie,Female,Female
814,Netta,Female,Female
815,Nolia,Female,Female
816,Nonie,Female,Female
817,Odelia,Female,Female
818,Ottilie,Female,Female
819,Phyllis,Male,Female
820,Robbie,Female,Female
821,Sabina,Female,Female
822,Sada,Female,Female
823,Sammie,Female,Female
824,Suzanne,Female,Female
825,Sybilla,Female,Female
826,Thea,Female,Female
827,Tressie,Female,Female
828,Vallie,Female,Female
829,Venie,Female,Female
830,Viney,Female,Female
831,Wilhelmine,Female,Female
832,Winona,Female,Female
833,Zelda,Female,Female
834,Zilpha,Female,Female
835,Adelle,Female,Female
836,Adina,Female,Female
837,Adrienne,Female,Female
838,Albertine,Female,Female
839,Alys,Female,Female
840,Ana,Female,Female
841,Araminta,Female,Female
842,Arthur,Male,Female
843,Birtha,Female,Female
844,Bulah,Male,Female
845,Caddie,Female,Female
846,Celie,Female,Female
847,Charlotta,Female,Female
848,Clair,Male,Female
849,Concepcion,Male,Female
850,Cordella,Female,Female
851,Corrine,Female,Female
852,Delila,Female,Female
853,Delphine,Female,Female
854,Dosha,Female,Female
855,Edgar,Male,Female
856,Elaine,Female,Female
857,Elisa,Female,Female
858,Ellar,Male,Female
859,Elmire,Female,Female
860,Elvina,Female,Female
861,Ena,Female,Female
862,Estie,Female,Female
863,Etter,Male,Female
864,Fronnie,Female,Female
865,Genie,Female,Female
866,Georgina,Female,Female
867,Glenn,Male,Female
868,Gracia,Female,Female
869,Guadalupe,Female,Female
870,Gwendolyn,Female,Female
871,Hassie,Female,Female
872,Honora,Female,Female
873,Icy,Female,Female
874,Isa,Female,Female
875,Isadora,Female,Female
876,Jesse,Female,Female
877,Jewel,Male,Female
878,Joe,Female,Female
879,Johannah,Male,Female
880,Juana,Female,Female
881,Judith,Male,Female
882,Judy,Female,Female
883,Junie,Female,Female
884,Lavonia,Female,Female
885,Lella,Female,Female
886,Lemma,Female,Female
887,Letty,Female,Female
888,Linna,Female,Female
889,Littie,Female,Female
890,Lollie,Female,Female
891,Lorene,Female,Female
892,Louis,Male,Female
893,Love,Female,Female
894,Lovisa,Female,Female
895,Lucina,Female,Female
896,Lynn,Female,Female
897,Madora,Female,Female
898,Mahalia,Female,Female
899,Manervia,Female,Female
900,Manuela,Female,Female
901,Margarett,Male,Female
902,Margaretta,Female,Female
903,Margarita,Female,Female
904,Marilla,Female,Female
905,Mignon,Male,Female
906,Mozella,Female,Female
907,Natalie,Female,Female
908,Nelia,Female,Female
909,Nolie,Female,Female
910,Omie,Female,Female
911,Opal,Male,Female
912,Ossie,Female,Female
913,Ottie,Female,Female
914,Ottilia,Female,Female
915,Parthenia,Female,Female
916,Penelope,Female,Female
917,Pinkey,Male,Female
918,Pollie,Female,Female
919,Rennie,Female,Female
920,Reta,Female,Female
921,Roena,Female,Female
922,Rosalee,Female,Female
923,Roseanna,Female,Female
924,Ruthie,Female,Female
925,Sabra,Female,Female
926,Sannie,Female,Female
927,Selena,Female,Female
928,Sibyl,Female,Female
929,Tella,Female,Female
930,Tempie,Female,Female
931,Tennessee,Female,Female
932,Teressa,Female,Female
933,Texas,Male,Female
934,Theda,Female,Female
935,Thelma,Female,Female
936,Thursa,Female,Female
937,Ula,Female,Female
938,Vannie,Female,Female
939,Verona,Female,Female
940,Vertie,Female,Female
941,Wilma,Female,Female
942,Edward,Male,Male
943,Albert,Male,Male
944,Samuel,Male,Male
945,David,Male,Male
946,Charlie,Female,Male
947,Richard,Male,Male
948,Andrew,Male,Male
949,Daniel,Male,Male
950,Ernest,Male,Male
951,Will,Male,Male
952,Oscar,Male,Male
953,Lewis,Male,Male
954,Peter,Male,Male
955,Benjamin,Male,Male
956,Frederick,Male,Male
957,Alfred,Male,Male
958,Sam,Male,Male
959,Roy,Male,Male
960,Herbert,Male,Male
961,Jacob,Male,Male
962,Tom,Male,Male
963,Elmer,Male,Male
964,Carl,Male,Male
965,Howard,Male,Male
966,Martin,Male,Male
967,Michael,Male,Male
968,Bert,Male,Male
969,Herman,Male,Male
970,Jim,Male,Male
971,Harvey,Male,Male
972,Earl,Male,Male
973,Eugene,Female,Male
974,Ralph,Male,Male
975,Ed,Male,Male
976,Edwin,Male,Male
977,Ben,Male,Male
978,Charley,Female,Male
979,Paul,Male,Male
980,Isaac,Male,Male
981,Otto,Male,Male
982,Luther,Male,Male
983,Lawrence,Female,Male
984,Patrick,Male,Male
985,Guy,Male,Male
986,Oliver,Male,Male
987,Theodore,Female,Male
988,Hugh,Male,Male
989,Alexander,Male,Male
990,August,Male,Male
991,Floyd,Male,Male
992,Homer,Male,Male
993,Jack,Male,Male
994,Leonard,Male,Male
995,Horace,Male,Male
996,Philip,Male,Male
997,Allen,Male,Male
998,Archie,Female,Male
999,Stephen,Male,Male
1000,Chester,Male,Male
1001,Willis,Male,Male
1002,Raymond,Male,Male
1003,Rufus,Male,Male
1004,Warren,Male,Male
1005,Milton,Male,Male
1006,Alex,Male,Male
1007,Julius,Male,Male
1008,Bernard,Male,Male
1009,Dan,Male,Male
1010,Jerry,Male,Male
1011,Calvin,Male,Male
1012,Perry,Male,Male
1013,Dave,Male,Male
1014,Anthony,Male,Male
1015,Amos,Male,Male
1016,Dennis,Male,Male
1017,Leroy,Female,Male
1018,Wesley,Male,Male
1019,Alonzo,Male,Male
1020,Garfield,Male,Male
1021,Franklin,Male,Male
1022,Emil,Male,Male
1023,Leon,Male,Male
1024,Nathan,Male,Male
1025,Harold,Male,Male
1026,Matthew,Male,Male
1027,Levi,Female,Male
1028,Moses,Male,Male
1029,Everett,Male,Male
1030,Lester,Male,Male
1031,Winfield,Male,Male
1032,Adam,Male,Male
1033,Lloyd,Male,Male
1034,Mack,Male,Male
1035,Fredrick,Male,Male
1036,Jay,Male,Male
1037,Jess,Male,Male
1038,Melvin,Male,Male
1039,Noah,Female,Male
1040,Aaron,Male,Male
1041,Alvin,Male,Male
1042,Norman,Male,Male
1043,Gilbert,Male,Male
1044,Elijah,Female,Male
1045,Victor,Male,Male
1046,Gus,Male,Male
1047,Nelson,Male,Male
1048,Jasper,Male,Male
1049,Silas,Male,Male
1050,Jake,Male,Male
1051,Christopher,Male,Male
1052,Mike,Female,Male
1053,Percy,Male,Male
1054,Adolph,Male,Male
1055,Maurice,Female,Male
1056,Cornelius,Male,Male
1057,Felix,Male,Male
1058,Reuben,Male,Male
1059,Wallace,Male,Male
1060,Claud,Male,Male
1061,Roscoe,Female,Male
1062,Sylvester,Male,Male
1063,Earnest,Male,Male
1064,Hiram,Male,Male
1065,Otis,Male,Male
1066,Simon,Male,Male
1067,Willard,Male,Male
1068,Irvin,Male,Male
1069,Mark,Male,Male
1070,Jose,Female,Male
1071,Wilbur,Male,Male
1072,Abraham,Male,Male
1073,Virgil,Male,Male
1074,Clinton,Male,Male
1075,Elbert,Male,Male
1076,Marshall,Male,Male
1077,Owen,Male,Male
1078,Wiley,Male,Male
1079,Anton,Male,Male
1080,Morris,Male,Male
1081,Manuel,Male,Male
1082,Phillip,Male,Male
1083,Augustus,Male,Male
1084,Emmett,Male,Male
1085,Eli,Female,Male
1086,Nicholas,Male,Male
1087,Wilson,Male,Male
1088,Harley,Male,Male
1089,Newton,Male,Male
1090,Timothy,Male,Male
1091,Marvin,Male,Male
1092,Ross,Male,Male
