title,authors,nom,prenom,rank_author,year,sex,first_author_sex
Accompagner au début du ème siècle les organisations dans la mise en place d&apos;une gestion des connaissances - retour d&apos;expérience.,"['Alain Berger', 'Jean-Pierre Cotton', 'Pierre Mariot']","['Berger', 'Cotton', 'Mariot']","['Alain', 'Jean-Pierre', 'Pierre']","[1, 2, 3]","['2009', '2009', '2009']","['Male', 'Male', 'Male']","['Male', nan, nan]"
Accélération de la méthode des K plus proches voisins pour la catégorisation de textes.,"['Baghdad Atmani', 'Fatiha Barigou', 'Naouel Barigou', 'Youcef Bouziane']","['Atmani', 'Barigou', 'Barigou', 'Bouziane']","['Baghdad', 'Fatiha', 'Naouel', 'Youcef']","[2, 1, 4, 3]","['2013', '2013', '2013', '2013']","['Male', 'Female', 'Female', 'Male']","[nan, 'Female', nan, nan]"
Acquisition de données vs gestion de connaissances patrimoniales - le cas des vestiges du théâtre antique d&apos;Arles.,"['Francesca De Domenico', 'Iwona Dudek', 'Jean-Yves Blaise', 'Livio De Luca']","['De', 'Dudek', 'Blaise', 'De']","['Francesca', 'Iwona', 'Jean-Yves', 'Livio']","[2, 4, 1, 3]","['2004', '2004', '2004', '2004']","['Female', 'Female', 'Male', 'Female']","[nan, nan, 'Male', nan]"
Acquisition de structures lexico-sémantiques à partir de textes - un nouveau cadre de travail fondé sur une structuration prétopologique.,"['Gaël Dias', 'Guillaume Cleuziou', 'Vincent Levorato']","['Dias', 'Cleuziou', 'Levorato']","['Gael', 'Guillaume', 'Vincent']","[2, 1, 3]","['2011', '2011', '2011']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Agrégation de sac-de-sacs-de-mots pour la recherche d&apos;information par modèles vectoriels.,['Vincent Claveau'],['Claveau'],['Vincent'],[1],['2014'],['Male'],['Male']
Aide à l&apos;analyse visuelle de réseaux sociaux pour la detection de comportements suspects.,"['Alain Cagnati', 'Amyn Bennamane', 'Arnaud Ansiaux', 'Hakim Hacid']","['Cagnati', 'Bennamane', 'Ansiaux', 'Hacid']","['Alain', 'Amyn', 'Arnaud', 'Hakim']","[4, 1, 3, 2]","['2011', '2011', '2011', '2011']","['Male', 'Female', 'Male', 'Male']","[nan, 'Female', nan, nan]"
Aide à la conception de méthodes de classification pour la construction d&apos;ontologies - l&apos;atelier Mo&apos;K.,"['Claire Nedellec', 'Gilles Bisson']","['Nedellec', 'Bisson']","['Claire', 'Gilles']","[2, 1]","['2001', '2001']","['Female', 'Male']","[nan, 'Male']"
Aide à la navigation sur le web - Réutilisation de l&apos;expérience des utilisateurs.,"['Christine Julien 0002', 'Max Chevalier']","['Julien', 'Chevalier']","['Christine', 'Max']","[2, 1]","['2002', '2002']","['Female', 'Male']","[nan, 'Male']"
Algorithme semi-interactif pour la sélection de dimensions.,"['François Poulet', 'Lydia Boudjeloud']","['Poulet', 'Boudjeloud']","['Francois', 'Lydia']","[2, 1]","['2006', '2006']","['Male', 'Female']","[nan, 'Female']"
Algorithmes d&apos;extraction et d&apos;interrogation d&apos;une représentation concise exacte des motifs corrélés rares - Application à la détection d&apos;intrusions.,"['Sadok Ben Yahia', 'Souad Bouasker', 'Tarek Hamrouni']","['Ben', 'Bouasker', 'Hamrouni']","['Sadok', 'Souad', 'Tarek']","[3, 1, 2]","['2012', '2012', '2012']","['Male', 'Female', 'Male']","[nan, 'Female', nan]"
Algorithmes rapides de boosting de SVM.,"['François Poulet', 'Jean-Daniel Fekete', 'Thanh-Nghi Do']","['Poulet', 'Fekete', 'Do']","['Francois', 'Jean-Daniel', 'Thanh-Nghi']","[3, 2, 1]","['2008', '2008', '2008']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
Alignement de ressources sémantiques à partir de règles.,"['Sylvie Desprès', 'Valentina Ceausu']","['Desprès', 'Ceausu']","['Sylvie', 'Valentina']","[2, 1]","['2007', '2007']","['Female', 'Female']","[nan, 'Female']"
Amélioration de la performance de l&apos;analyse de la sémantique latente pour des corpus de petite taille.,"['Abderrahim El Qadi', 'Driss Aboutajdine', 'Fadoua Ataa-Allah', 'Siham Boulaknadel']","['El', 'Aboutajdine', 'Ataa-Allah', 'Boulaknadel']","['Abderrahim', 'Driss', 'Fadoua', 'Siham']","[2, 4, 1, 3]","['2005', '2005', '2005', '2005']","['Male', 'Male', 'Female', 'Female']","[nan, nan, 'Female', nan]"
Amélioration des indicateurs techniques pour l&apos;analyse du marché financier.,"['Hunor Albert-Lorincz', 'Jean-François Boulicaut']","['Albert-Lorincz', 'Boulicaut']","['Hunor', 'Jean-Francois']","[1, 2]","['2006', '2006']","['Male', 'Male']","['Male', nan]"
Analyse Ontologique de scénario dans un contexte Big Data.,"['Aurélie Bertaux', 'Christophe Nicolle', 'Marwan Batrouni']","['Bertaux', 'Nicolle', 'Batrouni']","['Aurelie', 'Christophe', 'Marwan']","[2, 3, 1]","['2018', '2018', '2018']","['Female', 'Male', 'Male']","[nan, nan, 'Male']"
Analyse Relationnelle de Concepts pour l&apos;exploration de données relationnelles.,"['Clémentine Nebut', 'Florence Le Ber', 'Marianne Huchard', 'Xavier Dolques']","['Nebut', 'Le', 'Huchard', 'Dolques']","['Clementine', 'Florence', 'Marianne', 'Xavier']","[4, 2, 3, 1]","['2013', '2013', '2013', '2013']","['Female', 'Female', 'Female', 'Male']","[nan, nan, nan, 'Male']"
Analyse comparative de classifications - apport des règles d&apos;association floues.,"['Claire François', 'Martine Cadot', 'Pascal Cuxac']","['François', 'Cadot', 'Cuxac']","['Claire', 'Martine', 'Pascal']","[3, 2, 1]","['2005', '2005', '2005']","['Female', 'Female', 'Male']","[nan, nan, 'Male']"
Analyse de données symboliques et graphe de connaissances d&apos;un agent.,"['Edwin Diday', 'Philippe Caillou']","['Diday', 'Caillou']","['Edwin', 'Philippe']","[2, 1]","['2005', '2005']","['Male', 'Male']","[nan, 'Male']"
Analyse de l&apos;effet du bruit dans les algorithmes d&apos;apprentissage des réseaux Bayésiens.,"['Mohamed Bendou', 'Paul Munteanu']","['Bendou', 'Munteanu']","['Mohamed', 'Paul']","[1, 2]","['2003', '2003']","['Male', 'Male']","['Male', nan]"
Analyse de l&apos;expression de gènes à partir de puces à ADN.,"['Gérard Ramstein', 'Hugues Delalin', 'Jean Léger']","['Ramstein', 'Delalin', 'Léger']","['Gerard', 'Hugues', 'Jean']","[3, 1, 2]","['2002', '2002', '2002']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d&apos;apprentissage automatique.,"['Abdeljalil Elouardighi', 'Fatima Zahra Aazi', 'Hafdalla Hammia', 'Mohcine Maghfour']","['Elouardighi', 'Zahra', 'Hammia', 'Maghfour']","['Abdeljalil', 'Fatima', 'Hafdalla', 'Mohcine']","[1, 4, 3, 2]","['2018', '2018', '2018', '2018']","['Male', 'Female', 'UKN', 'UKN']","['Male', nan, nan, nan]"
Analyse et visualisation d&apos;opinions dans un cadre de veille sur leWeb.,"['Eric Fourboul', 'Julien Velcin', 'Leila Khouas', 'Mohamed Dermouche', 'Sabine Loudcher']","['Fourboul', 'Velcin', 'Khouas', 'Dermouche', 'Loudcher']","['Eric', 'Julien', 'Leila', 'Mohamed', 'Sabine']","[5, 4, 2, 1, 3]","['2015', '2015', '2015', '2015', '2015']","['Male', 'Male', 'Female', 'Male', 'Female']","[nan, nan, nan, 'Male', nan]"
Analyse globale du flux optique pour la détection d&apos;évènements dans une scène de foule.,"['Chabane Djeraba', 'Nacim Ihaddadene', 'Thierry Urruty', 'Yassine Benabbas']","['Djeraba', 'Ihaddadene', 'Urruty', 'Benabbas']","['Chabane', 'Nacim', 'Thierry', 'Yassine']","[4, 2, 3, 1]","['2010', '2010', '2010', '2010']","['Male', 'Female', 'Male', 'Male']","[nan, nan, nan, 'Male']"
Analyse spatiotemporelle des vecteurs de mouvement - application au comptage des personnes.,"['Chabane Djeraba', 'Tarek Yahiaoui', 'Thierry Urruty', 'Yassine Benabbas']","['Djeraba', 'Yahiaoui', 'Urruty', 'Benabbas']","['Chabane', 'Tarek', 'Thierry', 'Yassine']","[4, 2, 3, 1]","['2011', '2011', '2011', '2011']","['Male', 'Male', 'Male', 'Male']","[nan, nan, nan, 'Male']"
Analyse stochastique de séquences d&apos;événements discrets pour la découverte de signatures.,"['Marc Le Goc', 'Philippe Bouché']","['Le', 'Bouché']","['Marc', 'Philippe']","[2, 1]","['2005', '2005']","['Male', 'Male']","[nan, 'Male']"
Annotation de textes par extraction d&apos;informations lexico-syntaxiques et acquisition de schémas conceptuels de causalité.,"['Catherine Faron-Zucker', 'Laurent Alamarguy', 'Rose Dieng-Kuntz']","['Faron-Zucker', 'Alamarguy', 'Dieng-Kuntz']","['Catherine', 'Laurent', 'Rose']","[3, 1, 2]","['2005', '2005', '2005']","['Female', 'Male', 'Female']","[nan, 'Male', nan]"
Anonymiser des données multidimensionnelles à laide du coclustering.,"['Fabrice Clérot', 'Françoise Fessant', 'Tarek Benkhelif']","['Clérot', 'Fessant', 'Benkhelif']","['Fabrice', 'Francoise', 'Tarek']","[3, 1, 2]","['2017', '2017', '2017']","['Male', 'Female', 'Male']","[nan, 'Female', nan]"
Application des réseaux bayésiens à l&apos;analyse des facteurs impliqués dans le cancer du Nasopharynx.,"['Alexandre Aussem', 'Marilys Corbex', 'Sergio Rodrigues de Morais']","['Aussem', 'Corbex', 'Rodrigues']","['Alexandre', 'Marilys', 'Sergio']","[1, 3, 2]","['2007', '2007', '2007']","['Male', 'Female', 'Male']","['Male', nan, nan]"
Application du coclustering à lanalyse exploratoire dune table de données.,"['Aichetou Bouchareb', 'Fabrice Clérot', 'Fabrice Rossi', 'Marc Boullé']","['Bouchareb', 'Clérot', 'Rossi', 'Boullé']","['Aichetou', 'Fabrice', 'Fabrice', 'Marc']","[1, 3, 4, 2]","['2017', '2017', '2017', '2017']","['Female', 'Male', 'Male', 'Male']","['Female', nan, nan, nan]"
Application du paradigme MapReduce aux données ouvertes Cas - Accessibilité des personnes à mobilité réduite aux musées.,"['Billel Arres', 'Fadila Bentayeb', 'Nadia Kabachi', 'Omar Boussaïd']","['Arres', 'Bentayeb', 'Kabachi', 'Boussaïd']","['Billel', 'Fadila', 'Nadia', 'Omar']","[1, 3, 2, 4]","['2014', '2014', '2014', '2014']","['Male', 'Female', 'Female', 'Male']","['Male', nan, nan, nan]"
Application du test des Hypervolumes à des données symboliques de type intervalle.,"['André Hardy', 'Pascale Lallemand']","['Hardy', 'Lallemand']","['Andre', 'Pascale']","[1, 2]","['2002', '2002']","['Male', 'Female']","['Male', nan]"
Applications de l&apos;apprentissage automatique et de la fouille de données.,['Yves Kodratoff'],['Kodratoff'],['Yves'],[1],['2001'],['Male'],['Male']
Apport de la fouille de données pour la prévention du risque suicidaire.,"['Enrique Baca-García', 'Jorge Lopez-Castroman', 'Mark Larsen', 'Michel Walter', 'Philippe Courtet', 'Philippe Lenca', 'Romain Billot', 'Sofian Berrouiguet']","['Baca-García', 'Lopez-Castroman', 'Larsen', 'Walter', 'Courtet', 'Lenca', 'Billot', 'Berrouiguet']","['Enrique', 'Jorge', 'Mark', 'Michel', 'Philippe', 'Philippe', 'Romain', 'Sofian']","[6, 5, 3, 4, 7, 8, 1, 2]","['2018', '2018', '2018', '2018', '2018', '2018', '2018', '2018']","['Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male']","[nan, nan, nan, nan, nan, nan, 'Male', nan]"
Apport de la technique de fouille de données spatiales dans la prédiction des risques engendrés par les changements climatiques.,"['Hana Alouaoui', 'Sami Faïz', 'Sami Yassine Turki']","['Alouaoui', 'Faïz', 'Yassine']","['Hana', 'Sami', 'Sami']","[1, 3, 2]","['2010', '2010', '2010']","['Female', 'Male', 'Male']","['Female', nan, nan]"
Apport des traitements morphosyntaxiques pour l&apos;alignement des définitions par une classification SVM.,"['Alexandrina Rogozan', 'Jean-Pierre Pécuchet', 'Laura Diosan']","['Rogozan', 'Pécuchet', 'Diosan']","['Alexandrina', 'Jean-Pierre', 'Laura']","[2, 3, 1]","['2008', '2008', '2008']","['Female', 'Male', 'Female']","[nan, nan, 'Female']"
Apprendre les contraintes topologiques dans les cartes auto-organisatrices.,"['Guénaël Cabanes', 'Younès Bennani']","['Cabanes', 'Bennani']","['Guenael', 'Younes']","[1, 2]","['2011', '2011']","['Male', 'Male']","['Male', nan]"
Apprentissage actif d&apos;émotions dans les dialogues Homme-Machine.,"['Alexis Bondu', 'Barbara Poulain', 'Vincent Lemaire']","['Bondu', 'Poulain', 'Lemaire']","['Alexis', 'Barbara', 'Vincent']","[1, 3, 2]","['2007', '2007', '2007']","['Male', 'Female', 'Male']","['Male', nan, nan]"
Apprentissage de comportements utilisateurs de produits hypermédias.,"['Frédéric Piat', 'Laurent Lemoine', 'Patrick Gallinari', 'Sylvain Bidel', 'Thierry Artières']","['Piat', 'Lemoine', 'Gallinari', 'Bidel', 'Artières']","['Frederic', 'Laurent', 'Patrick', 'Sylvain', 'Thierry']","[3, 2, 5, 1, 4]","['2003', '2003', '2003', '2003', '2003']","['Male', 'Male', 'Male', 'Male', 'Male']","[nan, nan, nan, 'Male', nan]"
Apprentissage de la structure des réseaux bayésiens à partir des motifs fréquents corrélés - application à l&apos;identification des facteurs environnementaux du cancer du Nasopharynx.,"['Alexandre Aussem', 'Fabien De Marchi', 'Marilys Corbex', 'Zahra Kebaili']","['Aussem', 'De', 'Corbex', 'Kebaili']","['Alexandre', 'Fabien', 'Marilys', 'Zahra']","[1, 4, 3, 2]","['2006', '2006', '2006', '2006']","['Male', 'Male', 'Female', 'Female']","['Male', nan, nan, nan]"
Apprentissage de structures séquentielles pour lextraction dentités et de relations dans des textes dappels doffres.,"['Nicolas Béchet', 'Oussama Ahmia', 'Pierre-François Marteau']","['Béchet', 'Ahmia', 'Marteau']","['Nicolas', 'Oussama', 'Pierre-Francois']","[2, 1, 3]","['2017', '2017', '2017']","['Male', 'Male', 'Male']","[nan, 'Male', nan]"
Apprentissage des réseaux bayésiens avec des graphes chaînés maximaux.,"['Mohamed Bendou', 'Paul Munteanu']","['Bendou', 'Munteanu']","['Mohamed', 'Paul']","[1, 2]","['2004', '2004']","['Male', 'Male']","['Male', nan]"
Apprentissage despaces prétopologiques dans un cadre multi-instance pour la structuration de données.,"['Gaëtan Caillaut', 'Guillaume Cleuziou']","['Caillaut', 'Cleuziou']","['Gaetan', 'Guillaume']","[1, 2]","['2017', '2017']","['Male', 'Male']","['Male', nan]"
Apprentissage incrémental des profils dans un système de filtrage d&apos;information.,"['Hamid Tebri', 'Mohamed Tmar', 'Mohand Boughanem']","['Tebri', 'Tmar', 'Boughanem']","['Hamid', 'Mohamed', 'Mohand']","[2, 3, 1]","['2004', '2004', '2004']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
"Apprentissage non supervisé de dépendances syntaxiques à partir de texte étiqueté, plusieurs variantes de PCFG légères.","['Christel Vrain', 'Edmond Lassalle', 'Guillaume Cleuziou', 'Marie Arcadias']","['Vrain', 'Lassalle', 'Cleuziou', 'Arcadias']","['Christel', 'Edmond', 'Guillaume', 'Marie']","[4, 3, 2, 1]","['2014', '2014', '2014', '2014']","['Female', 'Male', 'Male', 'Female']","[nan, nan, nan, 'Female']"
Approche biomimétique coopérative pour la visualisation de grands graphes multidimensionels.,"['Hanane Azzag', 'Lydia Boudjeloud-Assala']","['Azzag', 'Boudjeloud-Assala']","['Hanane', 'Lydia']","[2, 1]","['2010', '2010']","['Female', 'Female']","[nan, 'Female']"
Approche cognitive de la co-construction d&apos;un catalogue multi-point de vue et multi-expert.,"['Jean-Pierre Cahier', 'Manuel Zacklad']","['Cahier', 'Zacklad']","['Jean-Pierre', 'Manuel']","[1, 2]","['2002', '2002']","['Male', 'Male']","['Male', nan]"
Approche connexionniste pour l&apos;extraction de profils cas-témoins du cancer du Nasopharynx à partir des données issues d&apos;une étude épidémiologique.,"['Alexandre Aussem', 'Khalid Benabdeslem', 'Marilys Corbex', 'Mustapha Lebbah']","['Aussem', 'Benabdeslem', 'Corbex', 'Lebbah']","['Alexandre', 'Khalid', 'Marilys', 'Mustapha']","[3, 1, 4, 2]","['2007', '2007', '2007', '2007']","['Male', 'Male', 'Female', 'Male']","[nan, 'Male', nan, nan]"
Approche contextuelle par régression pour les tests A/B.,"['Emmanuelle Claeys', 'Myriam Maumy-Bertrand', 'Pierre Gançarski']","['Claeys', 'Maumy-Bertrand', 'Gançarski']","['Emmanuelle', 'Myriam', 'Pierre']","[1, 3, 2]","['2018', '2018', '2018']","['Female', 'Female', 'Male']","['Female', nan, nan]"
Approche d&apos;extraction de classes interlangues à partir de documents multilingues à base de Concepts Fermés.,"['Chiraz Latiri', 'Mohamed Chebel']","['Latiri', 'Chebel']","['Chiraz', 'Mohamed']","[2, 1]","['2015', '2015']","['Male', 'Male']","[nan, 'Male']"
Approche entropique pour l&apos;analyse de modèle de chroniques.,"['Marc Le Goc', 'Nabil Benayadi', 'Philippe Bouché']","['Le', 'Benayadi', 'Bouché']","['Marc', 'Nabil', 'Philippe']","[2, 1, 3]","['2006', '2006', '2006']","['Male', 'Female', 'Male']","[nan, 'Female', nan]"
Approche hybride de classification supervisée à base de treillis de Galois - application à la reconnaissance de visages.,"['Brahim Douar', 'Cherif Chiraz Latiri', 'Yahya Slimani']","['Douar', 'Chiraz', 'Slimani']","['Brahim', 'Cherif', 'Yahya']","[1, 2, 3]","['2008', '2008', '2008']","['Male', 'Male', 'Female']","['Male', nan, nan]"
Approche innovante pour la recherche et l&apos;extraction coopérative et dynamique d&apos;informations sur Internet.,"['Gaëlle Simon', 'Nicolas Chanchevrier', 'Xavier Denis']","['Simon', 'Chanchevrier', 'Denis']","['Gaelle', 'Nicolas', 'Xavier']","[2, 3, 1]","['2004', '2004', '2004']","['Female', 'Male', 'Male']","[nan, nan, 'Male']"
Approche relationnelle de l&apos;apprentissage de séquences.,"['Agnès Braud', 'Clément Charnay', 'Nicolas Lachiche']","['Braud', 'Charnay', 'Lachiche']","['Agnes', 'Clement', 'Nicolas']","[3, 1, 2]","['2015', '2015', '2015']","['Female', 'Male', 'Male']","[nan, 'Male', nan]"
Approximation de requêtes sur des bases de données XML.,['Etienne Canaud'],['Canaud'],['Etienne'],[1],['2003'],['Male'],['Male']
Arbre de décision spatial - Application en sécurité routière.,"['Karine Zeitouni', 'Nadjim Chelghoum']","['Zeitouni', 'Chelghoum']","['Karine', 'Nadjim']","[2, 1]","['2001', '2001']","['Female', 'Male']","[nan, 'Male']"
Assessing the uncertainty in knn Data Fusion.,"['Enric Ripoll', 'Josep Daunis-i-Estadella', 'Tomàs Aluja-Banet']","['Ripoll', 'Daunis-i-Estadella', 'Aluja-Banet']","['Enric', 'Josep', 'Tomas']","[3, 2, 1]","['2009', '2009', '2009']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
Auto-organisation topologique et hiérarchique des données.,"['Hanane Azzag', 'Mustapha Lebbah']","['Azzag', 'Lebbah']","['Hanane', 'Mustapha']","[1, 2]","['2010', '2010']","['Female', 'Male']","['Female', nan]"
Automatic correction of SVM for drifted data classification.,"['Alexandra Degeest', 'Benoît Frénay', 'Michel Verleysen']","['Degeest', 'Frénay', 'Verleysen']","['Alexandra', 'Benoit', 'Michel']","[1, 2, 3]","['2014', '2014', '2014']","['Female', 'Male', 'Male']","['Female', nan, nan]"
BNTGUI - Construction et Apprentissage de Structure dans les Réseaux Bayésiens.,"['Ahmed Rebai', 'Lobna Bouchaala']","['Rebai', 'Bouchaala']","['Ahmed', 'Lobna']","[2, 1]","['2012', '2012']","['Male', 'Female']","[nan, 'Female']"
Bases de données relationnelles - construction d&apos;objets symboliques par généralisation.,['Aïcha El Golli'],['El'],['Aicha'],[1],['2002'],['Female'],['Female']
Biclustering of Gene Expression Data Based on Local Nearness.,"['Dan A. Simovici', 'Domingo S. Rodríguez', 'Jesús S. Aguilar-Ruiz']","['A.', 'S.', 'S.']","['Dan', 'Domingo', 'Jesus']","[3, 2, 1]","['2006', '2006', '2006']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
"Bien cube, les données textuelles peuvent s&apos;agréger !","['Anne Laurent', 'Maguelonne Teisseire', 'Mathieu Roche', 'Pascal Poncelet', 'Sandra Bringay']","['Laurent', 'Teisseire', 'Roche', 'Poncelet', 'Bringay']","['Anne', 'Maguelonne', 'Mathieu', 'Pascal', 'Sandra']","[2, 5, 4, 3, 1]","['2010', '2010', '2010', '2010', '2010']","['Female', 'Female', 'Male', 'Male', 'Female']","[nan, nan, nan, nan, 'Female']"
Biological event extraction using SVM and composite kernel function.,"['Aymen Elkhlifi', 'Maha Amami', 'Rim Faiz']","['Elkhlifi', 'Amami', 'Faiz']","['Aymen', 'Maha', 'Rim']","[2, 1, 3]","['2012', '2012', '2012']","['Male', 'Female', 'UKN']","[nan, 'Female', nan]"
CARTOCEL - un outil de cartographie des connaissances guidée par la machine cellulaire CASI.,"['Baghdad Atmani', 'Menaouer Brahami', 'Mostéfa Mokaddem']","['Atmani', 'Brahami', 'Mokaddem']","['Baghdad', 'Menaouer', 'Mostefa']","[2, 1, 3]","['2010', '2010', '2010']","['Male', 'UKN', 'UKN']","[nan, 'UKN', nan]"
CHIC - traitement de données avec l&apos;analyse implicative.,"['Raphaël Couturier', 'Régis Gras']","['Couturier', 'Gras']","['Raphael', 'Regis']","[1, 2]","['2005', '2005']","['Male', 'Male']","['Male', nan]"
CISNA - Un système hybride LD+Règles pour gérer des connaissances.,"['Alexis Bultey', 'Cecilia Zanni', 'Denis Cavallucci', 'François Rousselot']","['Bultey', 'Zanni', 'Cavallucci', 'Rousselot']","['Alexis', 'Cecilia', 'Denis', 'Francois']","[1, 3, 4, 2]","['2009', '2009', '2009', '2009']","['Male', 'Female', 'Male', 'Male']","['Male', nan, nan, nan]"
CND-Cube - Nouvelle représentation concise sans perte d&apos;information d&apos;un cube de données.,"['Hanen Brahmi', 'Riadh Ben Messaoud', 'Sadok Ben Yahia', 'Tarek Hamrouni']","['Brahmi', 'Ben', 'Ben', 'Hamrouni']","['Hanen', 'Riadh', 'Sadok', 'Tarek']","[1, 3, 4, 2]","['2010', '2010', '2010', '2010']","['Male', 'Male', 'Male', 'Male']","['Male', nan, nan, nan]"
CRAIM - un modèle générique des compétences.,['Mounira Harzallah'],['Harzallah'],['Mounira'],[1],['2002'],['Female'],['Female']
Capitaliser et partager des connaissances - une approche fondée sur l&apos;exploitation d&apos;un système à base de connaissances de type tâche/méthode.,"['Bruno Tixier', 'Francky Trichet', 'Michel Leclère']","['Tixier', 'Trichet', 'Leclère']","['Bruno', 'Francky', 'Michel']","[2, 3, 1]","['2001', '2001', '2001']","['Male', 'Male', 'Male']","[nan, nan, 'Male']"
Caractérisation d&apos;une région d&apos;intérêt dans les images.,"['Nicole Vincent', 'Pascal Makris', 'Yves Caron']","['Vincent', 'Makris', 'Caron']","['Nicole', 'Pascal', 'Yves']","[3, 2, 1]","['2005', '2005', '2005']","['Female', 'Male', 'Male']","[nan, nan, 'Male']"
Caractérisation des transitions temporisées dans les logs de conversation de services Web.,"['Didier Devaurs', 'Fabien De Marchi', 'Mohand-Said Hacid']","['Devaurs', 'De', 'Hacid']","['Didier', 'Fabien', 'Mohand-Said']","[1, 2, 3]","['2007', '2007', '2007']","['Male', 'Male', 'Male']","['Male', nan, nan]"
"Cartes cognitives - une exploitation à base d&apos;échelle, vue et profil.","['Aymeric Le Dorze', 'David Genest', 'Lionel Chauvin', 'Stéphane Loiseau']","['Le', 'Genest', 'Chauvin', 'Loiseau']","['Aymeric', 'David', 'Lionel', 'Stephane']","[3, 2, 1, 4]","['2011', '2011', '2011', '2011']","['Male', 'Male', 'Male', 'Male']","[nan, nan, 'Male', nan]"
Cartographie de connaissances critiques.,"['Gérard Aubertin', 'Imed Boughzala', 'Jean-Louis Ermine']","['Aubertin', 'Boughzala', 'Ermine']","['Gerard', 'Imed', 'Jean-Louis']","[1, 2, 3]","['2003', '2003', '2003']","['Male', 'Male', 'Male']","['Male', nan, nan]"
