,authors,nom,prenom,rank_author,title,year
49,Danielle Ziébelin,Ziébelin,Danielle,3,Apports de la modélisation algébrique pour la représentation de connaissances par objets : illustration en AROM.,2006
50,Jérôme Gensel,Gensel,Jérôme,4,Apports de la modélisation algébrique pour la représentation de connaissances par objets : illustration en AROM.,2006
51,Cécile Capponi,Capponi,Cécile,5,Apports de la modélisation algébrique pour la représentation de connaissances par objets : illustration en AROM.,2006
52,Jacques Bouaud,Bouaud,Jacques,1,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
53,Arnaud Soulet,Soulet,Arnaud,2,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
54,Jean-Philippe Spano,Spano,Jean-Philippe,3,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
55,Jean-Pierre Lefranc,Lefranc,Jean-Pierre,4,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
56,Isabelle Cojean-Zelek,Cojean-Zelek,Isabelle,5,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
57,Brigitte Blaszka-Jaulerry,Blaszka-Jaulerry,Brigitte,6,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
58,Laurent Zelek,Zelek,Laurent,7,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
59,Axel Durieux,Durieux,Axel,8,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
60,Christophe Tournigand,Tournigand,Christophe,9,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
61,Nizar Messai,Messai,Nizar,10,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
62,Alexandra Rousseau,Rousseau,Alexandra,11,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
63,Brigitte Séroussi,Séroussi,Brigitte,12,Quels sont les patients atteints d'un cancer du sein dont la décision de prise en charge thérapeutique bénéficie de l'utilisation d'un système d'aide à la décision ? Un exemple utilisant la fouille de données et OncoDoc2.,2014
64,Isabelle Mirbel,Mirbel,Isabelle,1,Vers une ontologie pour les communautés de développement de logiciel libre.,2008
65,Marion Richard,Richard,Marion,1,LOVMI : vers une méthode interactive pour la validation d'ontologies.,2015
66,Xavier Aimé,Aimé,Xavier,2,LOVMI : vers une méthode interactive pour la validation d'ontologies.,2015
67,Marie-Odile Krebs,Krebs,Marie-Odile,3,LOVMI : vers une méthode interactive pour la validation d'ontologies.,2015
68,Jean Charlet,Charlet,Jean,4,LOVMI : vers une méthode interactive pour la validation d'ontologies.,2015
69,Nicolas Férey,Férey,Nicolas,1,REVIVOS: REalité VIrtuelle pour la construction de VOcabulaires Spécialisés.,2007
70,Claire Toffano-Nioche,Toffano-Nioche,Claire,2,REVIVOS: REalité VIrtuelle pour la construction de VOcabulaires Spécialisés.,2007
71,Oriane Matte-Tailliez,Matte-Tailliez,Oriane,3,REVIVOS: REalité VIrtuelle pour la construction de VOcabulaires Spécialisés.,2007
72,Rachid Gherbi,Gherbi,Rachid,4,REVIVOS: REalité VIrtuelle pour la construction de VOcabulaires Spécialisés.,2007
73,William A. Turner,A.,William,5,REVIVOS: REalité VIrtuelle pour la construction de VOcabulaires Spécialisés.,2007
74,Fabrice Papy,Papy,Fabrice,1,Modélisation des meta-données bibliographiques : une contribution in-trumentée destinée à améliorer la circulation des usagers dans les connaissances de la bibliothèque.,2006
75,Xavier Aimé,Aimé,Xavier,1,SEMIOSEM : une mesure de similarité conceptuelle fondée sur une approche sémiotique.,2009
76,Frédéric Fürst,Fürst,Frédéric,2,SEMIOSEM : une mesure de similarité conceptuelle fondée sur une approche sémiotique.,2009
77,Pascale Kuntz,Kuntz,Pascale,3,SEMIOSEM : une mesure de similarité conceptuelle fondée sur une approche sémiotique.,2009
78,Francky Trichet,Trichet,Francky,4,SEMIOSEM : une mesure de similarité conceptuelle fondée sur une approche sémiotique.,2009
79,Emmanuel Blanchard,Blanchard,Emmanuel,1,Vers une classification des similarités basées sur le contenu informationnel des concepts d'une hiérarchie de subsomption.,2007
80,Mounira Harzallah,Harzallah,Mounira,2,Vers une classification des similarités basées sur le contenu informationnel des concepts d'une hiérarchie de subsomption.,2007
81,Pascale Kuntz-Cosperec,Kuntz-Cosperec,Pascale,3,Vers une classification des similarités basées sur le contenu informationnel des concepts d'une hiérarchie de subsomption.,2007
82,Laurie Serrano,Serrano,Laurie,1,Extraction et agrégation automatique d'événements pour la veille en sources ouvertes : du texte à la connaissance.,2013
83,Maroua Bouzid,Bouzid,Maroua,2,Extraction et agrégation automatique d'événements pour la veille en sources ouvertes : du texte à la connaissance.,2013
84,Thierry Charnois,Charnois,Thierry,3,Extraction et agrégation automatique d'événements pour la veille en sources ouvertes : du texte à la connaissance.,2013
85,Stephan Brunessaux,Brunessaux,Stephan,4,Extraction et agrégation automatique d'événements pour la veille en sources ouvertes : du texte à la connaissance.,2013
86,Bruno Grilhères,Grilhères,Bruno,5,Extraction et agrégation automatique d'événements pour la veille en sources ouvertes : du texte à la connaissance.,2013
87,Houda Khrouf,Khrouf,Houda,1,Réconcilier les événements dans le web de données.,2011
88,Raphaël Troncy,Troncy,Raphaël,2,Réconcilier les événements dans le web de données.,2011
89,Rim Djedidi,Djedidi,Rim,1,Enrichissement d'ontologies : maintenance de la consistance et évaluation de la qualité.,2008
90,Marie-Aude Aufaure,Aufaure,Marie-Aude,2,Enrichissement d'ontologies : maintenance de la consistance et évaluation de la qualité.,2008
91,Jacques Bouaud,Bouaud,Jacques,1,Impact de la réactualisation de recommandations de pratiques cliniques sur l'évolution d'une base de connaissances.,2008
92,Brigitte Séroussi,Séroussi,Brigitte,2,Impact de la réactualisation de recommandations de pratiques cliniques sur l'évolution d'une base de connaissances.,2008
93,Ambre Brizon,Brizon,Ambre,3,Impact de la réactualisation de recommandations de pratiques cliniques sur l'évolution d'une base de connaissances.,2008
94,Adama Sow,Sow,Adama,1,Intégration d'ontologies médicales : améloriation par association des maladies humaines à leurs plus pertinents signes caratéristiques.,2018
95,Abdoulaye Guissé,Guissé,Abdoulaye,2,Intégration d'ontologies médicales : améloriation par association des maladies humaines à leurs plus pertinents signes caratéristiques.,2018
96,Oumar Niang,Niang,Oumar,3,Intégration d'ontologies médicales : améloriation par association des maladies humaines à leurs plus pertinents signes caratéristiques.,2018
97,Xavier Aimé,Aimé,Xavier,1,Eléments de réflexion sur l'utilisation de corpus pour la construction d'ontologies.,2015
98,Jean-François Viaud,Viaud,Jean-François,1,Décomposition sous-directe d'un treillis en facteurs irréductibles.,2015
99,Karell Bertet,Bertet,Karell,2,Décomposition sous-directe d'un treillis en facteurs irréductibles.,2015
100,Christophe Demko,Demko,Christophe,3,Décomposition sous-directe d'un treillis en facteurs irréductibles.,2015
101,Rokia Missaoui,Missaoui,Rokia,4,Décomposition sous-directe d'un treillis en facteurs irréductibles.,2015
102,Jean-Claude Xheneumont,Xheneumont,Jean-Claude,1,"Les compétences comme valeurs communes de l'emploi, éducation et formation.",2007
103,Thierry Vermeeren,Vermeeren,Thierry,2,"Les compétences comme valeurs communes de l'emploi, éducation et formation.",2007
104,Fabien Gandon,Gandon,Fabien,1,Un modèle d'index pour la résolution distribuée de requêtes sur un nombre restreint de bases d'annotations RDF.,2008
105,Moussa Lo,Lo,Moussa,2,Un modèle d'index pour la résolution distribuée de requêtes sur un nombre restreint de bases d'annotations RDF.,2008
106,Cheikh Niang,Niang,Cheikh,3,Un modèle d'index pour la résolution distribuée de requêtes sur un nombre restreint de bases d'annotations RDF.,2008
107,Sylvie Desprès,Desprès,Sylvie,1,Des primitives visuelles pour l'assistance aux échanges entre experts et ontologues.,2016
108,Jérôme Nobécourt,Nobécourt,Jérôme,2,Des primitives visuelles pour l'assistance aux échanges entre experts et ontologues.,2016
109,Fanny Rigour,Rigour,Fanny,3,Des primitives visuelles pour l'assistance aux échanges entre experts et ontologues.,2016
110,Alice Hermann,Hermann,Alice,1,Aide à la création d'objets dans une base RDF(S) avec des règles de relaxation.,2012
111,Sébastien Ferré,Ferré,Sébastien,2,Aide à la création d'objets dans une base RDF(S) avec des règles de relaxation.,2012
112,Mireille Ducassé,Ducassé,Mireille,3,Aide à la création d'objets dans une base RDF(S) avec des règles de relaxation.,2012
113,Benjamin Huynh-Kim-Bang,Huynh-Kim-Bang,Benjamin,1,Social bookmarking et tags structurés.,2008
114,Eric Dané,Dané,Eric,2,Social bookmarking et tags structurés.,2008
115,Raafat Zarka,Zarka,Raafat,1,Trace replay with change propagation impact in client/server applications.,2011
116,Amélie Cordier,Cordier,Amélie,2,Trace replay with change propagation impact in client/server applications.,2011
117,ElOd Egyed-Zsigmond,Egyed-Zsigmond,ElOd,3,Trace replay with change propagation impact in client/server applications.,2011
118,Alain Mille,Mille,Alain,4,Trace replay with change propagation impact in client/server applications.,2011
119,Gilles Kassel,Kassel,Gilles,1,Une alternative à la distinction 'continuant' vs 'occurrent'.,2018
120,Mohamed Nader Jelassi,Nader,Mohamed,1,Étude du profil utilisateur pour la recommandation dans les folksonomies.,2016
121,Sadok Ben Yahia,Ben,Sadok,2,Étude du profil utilisateur pour la recommandation dans les folksonomies.,2016
122,Engelbert Mephu Nguifo,Mephu,Engelbert,3,Étude du profil utilisateur pour la recommandation dans les folksonomies.,2016
123,Radouan Dahbi,Dahbi,Radouan,1,Modélisation de connaissances métier pour la classification de pièces de bois.,2018
124,Vincent Bombardier,Bombardier,Vincent,2,Modélisation de connaissances métier pour la classification de pièces de bois.,2018
125,David Brie,Brie,David,3,Modélisation de connaissances métier pour la classification de pièces de bois.,2018
126,Eric Masson,Masson,Eric,4,Modélisation de connaissances métier pour la classification de pièces de bois.,2018
127,Namrata Patel,Patel,Namrata,1,Une approche hybride pour la détection d'influenceurs dans les médias sociaux.,2017
128,Cédric Lopez,Lopez,Cédric,2,Une approche hybride pour la détection d'influenceurs dans les médias sociaux.,2017
129,Ioannis Partalas,Partalas,Ioannis,3,Une approche hybride pour la détection d'influenceurs dans les médias sociaux.,2017
130,Frédérique Segond,Segond,Frédérique,4,Une approche hybride pour la détection d'influenceurs dans les médias sociaux.,2017
131,Mathilde Thébault,Thébault,Mathilde,1,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
132,Florence Amardeilh,Amardeilh,Florence,2,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
133,Denis Delamarre,Delamarre,Denis,3,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
134,Sylvie Guillemin-Lanne,Guillemin-Lanne,Sylvie,4,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
135,Anne Jamet,Jamet,Anne,5,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
136,Agnès Lillo-Le Louët,Lillo-Le,Agnès,6,VigiTermes : une plateforme de recherche et d'analyse des publications scientifiques au service de la pharmacovigilance.,2010
137,Amina Saoutal,Saoutal,Amina,1,Vers une cartographie participative basée sur la communication transversale des acteurs dans les situations de crise.,2014
138,Jean-Pierre Cahier,Cahier,Jean-Pierre,2,Vers une cartographie participative basée sur la communication transversale des acteurs dans les situations de crise.,2014
139,Nada Matta,Matta,Nada,3,Vers une cartographie participative basée sur la communication transversale des acteurs dans les situations de crise.,2014
140,Fabien Gandon,Gandon,Fabien,1,Le Web sémantique n'est pas antisocial.,2006
141,Vincenzo Daponte,Daponte,Vincenzo,1,Une ontologie pour la formalisation et la visualisation des connaissances scientifiques.,2018
142,Gilles Falquet,Falquet,Gilles,2,Une ontologie pour la formalisation et la visualisation des connaissances scientifiques.,2018
143,Yaya Traore,Traore,Yaya,1,Approche de découverte de nouvelles catégories dans un wiki sémantique basée sur les motifs fréquents.,2015
144,Sadouanouan Malo,Malo,Sadouanouan,2,Approche de découverte de nouvelles catégories dans un wiki sémantique basée sur les motifs fréquents.,2015
145,Cheikh Talibouya Diop,Talibouya,Cheikh,3,Approche de découverte de nouvelles catégories dans un wiki sémantique basée sur les motifs fréquents.,2015
146,Moussa Lo,Lo,Moussa,4,Approche de découverte de nouvelles catégories dans un wiki sémantique basée sur les motifs fréquents.,2015
147,Stanislas Ouaro,Ouaro,Stanislas,5,Approche de découverte de nouvelles catégories dans un wiki sémantique basée sur les motifs fréquents.,2015
148,Claude Moulin,Moulin,Claude,1,Le projet ECOPACK : environnement socio-technique support à une analyse stratégique.,2017
149,Marie-Hélène Abel,Abel,Marie-Hélène,2,Le projet ECOPACK : environnement socio-technique support à une analyse stratégique.,2017
150,Véronique Misséri,Misséri,Véronique,3,Le projet ECOPACK : environnement socio-technique support à une analyse stratégique.,2017
151,Ines Jilani,Jilani,Ines,1,Enrichissement automatique d'une base de connaissances biologiques à l'aide des outils du Web sémantique.,2009
152,Florence Amardeilh,Amardeilh,Florence,2,Enrichissement automatique d'une base de connaissances biologiques à l'aide des outils du Web sémantique.,2009
153,Julie Bourbeillon,Bourbeillon,Julie,1,Construction semi-automatique d'une ontologie de la perception des paysages.,2013
154,Laëtitia Piel,Piel,Laëtitia,2,Construction semi-automatique d'une ontologie de la perception des paysages.,2013
155,Ramla El Ayeb,El,Ramla,3,Construction semi-automatique d'une ontologie de la perception des paysages.,2013
156,Damien Rousselière,Rousselière,Damien,4,Construction semi-automatique d'une ontologie de la perception des paysages.,2013
157,Thomas Guyet,Guyet,Thomas,5,Construction semi-automatique d'une ontologie de la perception des paysages.,2013
158,Fabien Jalabert,Jalabert,Fabien,1,Environnement d'ingénierie des connaissances : intégration et visualisation dans le domaine du vivant.,2006
159,Sylvie Ranwez,Ranwez,Sylvie,2,Environnement d'ingénierie des connaissances : intégration et visualisation dans le domaine du vivant.,2006
160,Michel Crampes,Crampes,Michel,3,Environnement d'ingénierie des connaissances : intégration et visualisation dans le domaine du vivant.,2006
161,Vincent Derozier,Derozier,Vincent,4,Environnement d'ingénierie des connaissances : intégration et visualisation dans le domaine du vivant.,2006
162,Catherine Dominguès,Dominguès,Catherine,1,Du besoin de l'utilisateur à la spécification de sa carte.,2007
163,Julien Plu,Plu,Julien,1,ADEL : une méthode adaptative de désambiguïsation d'entités nommées.,2017
164,Raphaël Troncy,Troncy,Raphaël,2,ADEL : une méthode adaptative de désambiguïsation d'entités nommées.,2017
165,Giuseppe Rizzo 0002,Rizzo,Giuseppe,3,ADEL : une méthode adaptative de désambiguïsation d'entités nommées.,2017
166,Valentina Beretta,Beretta,Valentina,1,Utilisation d'ontologies pour la quête de vérité : une étude expérimentale.,2016
167,Sébastien Harispe,Harispe,Sébastien,2,Utilisation d'ontologies pour la quête de vérité : une étude expérimentale.,2016
168,Sylvie Ranwez,Ranwez,Sylvie,3,Utilisation d'ontologies pour la quête de vérité : une étude expérimentale.,2016
169,Isabelle Mougenot,Mougenot,Isabelle,4,Utilisation d'ontologies pour la quête de vérité : une étude expérimentale.,2016
170,Damien De Nizza,De,Damien,1,Formalisation et Construction d'une Ontologie dans le Domaine des Infections Orthopédiques.,2013
171,James Jerson Ortiz,Jerson,James,2,Formalisation et Construction d'une Ontologie dans le Domaine des Infections Orthopédiques.,2013
172,Hubert Meurisse,Meurisse,Hubert,3,Formalisation et Construction d'une Ontologie dans le Domaine des Infections Orthopédiques.,2013
173,Pierre-Yves Schobbens,Schobbens,Pierre-Yves,4,Formalisation et Construction d'une Ontologie dans le Domaine des Infections Orthopédiques.,2013
174,Brigitte Séroussi,Séroussi,Brigitte,1,Une modélisation qualitative de la plausibilité du diagnostic de pneumopathie médicamenteuse.,2007
175,Jacques Bouaud,Bouaud,Jacques,2,Une modélisation qualitative de la plausibilité du diagnostic de pneumopathie médicamenteuse.,2007
176,Huguette Lioté,Lioté,Huguette,3,Une modélisation qualitative de la plausibilité du diagnostic de pneumopathie médicamenteuse.,2007
177,Charles Mayaud,Mayaud,Charles,4,Une modélisation qualitative de la plausibilité du diagnostic de pneumopathie médicamenteuse.,2007
178,Thibault Mondary,Mondary,Thibault,1,Construction d'ontologies à partir de textes : la phase de conceptualisation.,2008
179,Sylvie Desprès,Desprès,Sylvie,2,Construction d'ontologies à partir de textes : la phase de conceptualisation.,2008
180,Adeline Nazarenko,Nazarenko,Adeline,3,Construction d'ontologies à partir de textes : la phase de conceptualisation.,2008
181,Sylvie Szulman,Szulman,Sylvie,4,Construction d'ontologies à partir de textes : la phase de conceptualisation.,2008
182,Rémy Kessler,Kessler,Rémy,1,Exploration par apprentissage de discussions de personnes en détresse psychologique.,2018
183,Nicolas Béchet,Béchet,Nicolas,2,Exploration par apprentissage de discussions de personnes en détresse psychologique.,2018
184,Gudrun Ledegen,Ledegen,Gudrun,3,Exploration par apprentissage de discussions de personnes en détresse psychologique.,2018
185,Frédéric Pugniere-Saavedra,Pugniere-Saavedra,Frédéric,4,Exploration par apprentissage de discussions de personnes en détresse psychologique.,2018
186,Élodie Thiéblin,Thiéblin,Élodie,1,Vers une approche pour la reformulation automatique de requêtes à partir d'alignements complexes.,2016
187,Fabien Amarger,Amarger,Fabien,2,Vers une approche pour la reformulation automatique de requêtes à partir d'alignements complexes.,2016
188,Ollivier Haemmerlé,Haemmerlé,Ollivier,3,Vers une approche pour la reformulation automatique de requêtes à partir d'alignements complexes.,2016
189,Nathalie Hernandez,Hernandez,Nathalie,4,Vers une approche pour la reformulation automatique de requêtes à partir d'alignements complexes.,2016
190,Cássia Trojahn,Trojahn,Cássia,5,Vers une approche pour la reformulation automatique de requêtes à partir d'alignements complexes.,2016
191,Nicolas Seydoux,Seydoux,Nicolas,1,Sémantique et Internet des objets : d'un état de l'art à une ontologie modulaire.,2015
192,Mahdi Ben Alaya,Ben,Mahdi,2,Sémantique et Internet des objets : d'un état de l'art à une ontologie modulaire.,2015
193,Nathalie Hernandez,Hernandez,Nathalie,3,Sémantique et Internet des objets : d'un état de l'art à une ontologie modulaire.,2015
194,Thierry Monteil 0001,Monteil,Thierry,4,Sémantique et Internet des objets : d'un état de l'art à une ontologie modulaire.,2015
195,Ollivier Haemmerlé,Haemmerlé,Ollivier,5,Sémantique et Internet des objets : d'un état de l'art à une ontologie modulaire.,2015
196,Nicolas Guelfi,Guelfi,Nicolas,1,Les ontologies pour la recherche ciblée d'information sur le Web : une utilisation et extension d'OWL pour l'expansion de requêtes.,2007
197,Cédric Pruski,Pruski,Cédric,2,Les ontologies pour la recherche ciblée d'information sur le Web : une utilisation et extension d'OWL pour l'expansion de requêtes.,2007
198,Chantal Reynaud,Reynaud,Chantal,3,Les ontologies pour la recherche ciblée d'information sur le Web : une utilisation et extension d'OWL pour l'expansion de requêtes.,2007
199,Khaled Khelif,Khelif,Khaled,1,Vers une personnalisation de la navigation par l'apprentissage de profils utilisateurs.,2008
200,Yassine Mrabet,Mrabet,Yassine,2,Vers une personnalisation de la navigation par l'apprentissage de profils utilisateurs.,2008
201,Rose Dieng-Kuntz,Dieng-Kuntz,Rose,3,Vers une personnalisation de la navigation par l'apprentissage de profils utilisateurs.,2008
202,Nicolas Moreau,Moreau,Nicolas,1,Annotation formelle graphique de documents multimédia.,2007
203,Michel Leclère,Leclère,Michel,2,Annotation formelle graphique de documents multimédia.,2007
204,Michel Chein,Chein,Michel,3,Annotation formelle graphique de documents multimédia.,2007
205,Alain Gutierrez,Gutierrez,Alain,4,Annotation formelle graphique de documents multimédia.,2007
206,Olivier Corby,Corby,Olivier,1,Démarches sémantiques de recherche d'information sur le Web.,2009
207,Catherine Faron-Zucker,Faron-Zucker,Catherine,2,Démarches sémantiques de recherche d'information sur le Web.,2009
