,authors,nom,prenom,rank_author,title,year,sex
434,Arnaud Ansiaux,Ansiaux,Arnaud,3,Aide à l&apos;analyse visuelle de réseaux sociaux pour la detection de comportements suspects.,2011,Male
437,Arnaud Coatanhay,Coatanhay,Arnaud,1,Classification en temps-fréquence à partir de données expertisées - Application à la détection des complexes-K.,2002,Male
439,Arnaud Devillez,Devillez,Arnaud,1,Connaissance des modes de fonctionnement d&apos;une presse à injecter à partir de données de production.,2001,Male
427,Arnaud Giacometti,Giacometti,Arnaud,3,Echantillonnage de motifs séquentiels sous contrainte sur la norme.,2018,Male
431,Arnaud Giacometti,Giacometti,Arnaud,1,20 ans de découverte de motifs - une étude bibliographique quantitative.,2013,Male
429,Arnaud Giacometti,Giacometti,Arnaud,2,Qualité et complexité en évaluation des mesures d&apos;intérêt.,2015,Male
435,Arnaud Martin,Martin,Arnaud,2,Mesure de concordance pour les bases de données évidentielles.,2011,Male
436,Arnaud Martin,Martin,Arnaud,2,Détection par SVM - Application à la détection de churn en téléphonie mobile prépayée.,2004,Male
433,Arnaud Saval,Saval,Arnaud,3,WebLab - une plateforme collaborative dédiée à la capitalisation de connaissances.,2012,Male
430,Arnaud Soulet,Soulet,Arnaud,3,Qualité et complexité en évaluation des mesures d&apos;intérêt.,2015,Male
432,Arnaud Soulet,Soulet,Arnaud,3,20 ans de découverte de motifs - une étude bibliographique quantitative.,2013,Male
428,Arnaud Soulet,Soulet,Arnaud,5,Echantillonnage de motifs séquentiels sous contrainte sur la norme.,2018,Male
438,Arnaud Waeters,Waeters,Arnaud,5,Evolution des connaissances et innovation - Application à une technologie laser à l&apos;Onera.,2001,Male
1297,Arriel Benis,Benis,Arriel,1,Un système pour l&apos;extraction de corrélations linéaires dans des données de génomique médicale.,2009,Female
1046,Arthur Tenenhaus,Tenenhaus,Arthur,2,Méthodes multiblocs pour l&apos;identification de gènes associés au vieillissement cutané chez 502 femmes caucasiennes adultes.,2012,Male
1530,Asma Brini,Brini,Asma,2,Introduction de la gradualité dans le jugement utilisateur.,2003,Female
1539,Attilio Giordana,Giordana,Attilio,1,Transition de phase et apprentissage relationnel - une analyse critique.,2003,Male
1222,Audrey Baneyx,Baneyx,Audrey,10,DaFOE - une plateforme pour construire des ontologies à partir de textes et de thésaurus.,2010,Female
1223,Audrey Baneyx,Baneyx,Audrey,1,K-WORDS LAB - un outil d&apos;analyse des mots clés permettant d&apos;explorer les dynamiques d&apos;un domaine scientifique.,2010,Female
127,Aurélie Bertaux,Bertaux,Aurelie,2,Analyse Ontologique de scénario dans un contexte Big Data.,2018,Female
128,Aurélie Bertaux,Bertaux,Aurelie,2,Reconstruction et analyse sémantique de chronologies cybercriminelles.,2014,Female
129,Aurélie Bertaux,Bertaux,Aurelie,1,Correspondances de Galois pour la manipulation de contextes flous multi-valués.,2009,Female
1516,Aurélien Bénel,Bénel,Aurelien,2,Modélisation de connaissances temporelles en archéologie.,2003,Male
1102,Ayale Daher,Daher,Ayale,1,Classification spatiale par contrôle de l&apos;agrégation.,2012,UKN
666,Aymen Elkhlifi,Elkhlifi,Aymen,2,Biological event extraction using SVM and composite kernel function.,2012,Male
665,Aymen Elkhlifi,Elkhlifi,Aymen,3,Using Social Conversational Context For Detecting Users Interactions on Microblogging Sites.,2015,Male
963,Aymeric Le Dorze,Le,Aymeric,1,Validation d&apos;une carte cognitive.,2013,Male
964,Aymeric Le Dorze,Le,Aymeric,3,"Cartes cognitives - une exploitation à base d&apos;échelle, vue et profil.",2011,Male
1567,Azedine Boulmakoul,Boulmakoul,Azedine,3,Fouille de données spatiales par arbre de décision multi-thème.,2002,Male
1569,Aïcha El Golli,El,Aicha,1,Bases de données relationnelles - construction d&apos;objets symboliques par généralisation.,2002,Female
170,Badre Belabbess,Belabbess,Badre,1,Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique.,2017,UKN
169,Badre Belabbess,Belabbess,Badre,1,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données.,2018,UKN
168,Badre Belabbess,Belabbess,Badre,1,Détection de Singularités en temps-réel par combinaison d&apos;apprentissage automatique et web sémantique basés sur Spark.,2018,UKN
824,Baghdad Atmani,Atmani,Baghdad,1,Un système cellulaire neuro-symbolique pour l&apos;extraction et la gestion de connaissances.,2011,Male
820,Baghdad Atmani,Atmani,Baghdad,3,Sélection de prototypes en vue d&apos;une catégorisation de textes avec les K plus proches voisins - étude comparative.,2014,Male
821,Baghdad Atmani,Atmani,Baghdad,2,Accélération de la méthode des K plus proches voisins pour la catégorisation de textes.,2013,Male
828,Baghdad Atmani,Atmani,Baghdad,2,CARTOCEL - un outil de cartographie des connaissances guidée par la machine cellulaire CASI.,2010,Male
825,Baghdad Atmani,Atmani,Baghdad,2,Utilisation de la machine cellulaire pour la détection des courriels indésirables.,2011,Male
822,Baghdad Atmani,Atmani,Baghdad,2,Définition d&apos;un modèle booléen de raisonnement flou adapté à la planification.,2012,Male
823,Baghdad Atmani,Atmani,Baghdad,1,Conception et implémentation d&apos;une nouvelle technique cellulaire de discrétisation - intégration dans TANAGRA.,2011,Male
826,Baghdad Atmani,Atmani,Baghdad,2,M3A - Une plateforme d&apos;ingénierie de maintenance assistée par apprentissage automatique.,2011,Male
514,Baptiste Jeudy,Jeudy,Baptiste,3,Un générateur de réseaux dynamiques attribués avec structure communautaire.,2017,Male
1398,Barbara Poulain,Poulain,Barbara,3,Apprentissage actif d&apos;émotions dans les dialogues Homme-Machine.,2007,Female
297,Benjamin Coste,Coste,Benjamin,1,Mesure de la confiance dans les systèmes dinformation - application aux données de navires.,2017,Male
299,Benjamin Gras,Gras,Benjamin,1,Identification des utilisateurs atypiques dans les systèmes de recommandation sociale.,2015,Male
298,Benjamin Renoust,Renoust,Benjamin,2,Face2Graph - Base de données graphe et visualisation pour lannotation darchives vidéos.,2017,Male
296,Benjamin Rothan,Rothan,Benjamin,4,Peerus Review - Un outil de recherche d&apos;experts scientifiques.,2018,Male
705,Benoit M. Macq,M.,Benoit,3,Un modèle d&apos;extraction de masses de croyance à partir de probabilités à postériori pour une amélioration des performances en classification supervisée.,2010,Male
703,Benoît Frénay,Frénay,Benoit,2,Automatic correction of SVM for drifted data classification.,2014,Male
707,Benoît Grossin,Grossin,Benoit,2,Density estimation on data stream - an application to change detection.,2010,Male
701,Benoît Otjacques,Otjacques,Benoit,4,Proposition d&apos;outil de clustering visuel et interactif.,2015,Male
1138,Bernadette Bouchon-Meunier,Bouchon-Meunier,Bernadette,4,Prise en compte du réseau de sources pour la fusion d&apos;informations.,2011,Female
47,Bernard Gibaud,Gibaud,Bernard,2,Sémantique des données d&apos;observation en neuro-imagerie selon un point de vue réaliste.,2018,Male
700,Bertjan Broeksema,Broeksema,Bertjan,3,Proposition d&apos;outil de clustering visuel et interactif.,2015,Male
1402,Bertrand Cuissart,Cuissart,Bertrand,1,Prédiction de la biodégradabilité des composés chimiques - un apport des méthodes d&apos;arbre de décision.,2001,Male
1400,Bertrand Jouve,Jouve,Bertrand,2,Partitionnement d&apos;un réseau de sociabilité à fort coefficient de clustering.,2007,Male
1401,Bertrand Petitjean,Petitjean,Bertrand,2,Un système d&apos;aide à la navigation dans des hypermédias.,2005,Male
1557,Bianka Buschbeck,Buschbeck,Bianka,1,Une application industrielle d&apos;extraction de l&apos;information pour l&apos;intelligence économique.,2002,Female
797,Billel Arres,Arres,Billel,1,Application du paradigme MapReduce aux données ouvertes Cas - Accessibilité des personnes à mobilité réduite aux musées.,2014,Male
950,Bin-Hui Chou,Chou,Bin-Hui,1,Detecting Academic Plagiarism with Graphs.,2013,UKN
807,Bissan Audeh,Audeh,Bissan,1,L&apos;utilisation des entités nommées pour l&apos;expansion sémantique des requêtes Web.,2014,Male
808,Boris Baldassari,Baldassari,Boris,1,De l&apos;ombre à la lumière - plus de visibilité sur l&apos;Eclipse.,2014,Male
764,Boutheina Ben Yaghlane,Ben,Boutheina,5,Requêtes Skyline en présence des données évidentielles.,2015,Female
765,Boutheina Ben Yaghlane,Ben,Boutheina,3,Mesure de concordance pour les bases de données évidentielles.,2011,Female
829,Bouziane Beldjilali,Beldjilali,Bouziane,4,Sélection de prototypes en vue d&apos;une catégorisation de textes avec les K plus proches voisins - étude comparative.,2014,Male
830,Bouziane Beldjilali,Beldjilali,Bouziane,3,Un système cellulaire neuro-symbolique pour l&apos;extraction et la gestion de connaissances.,2011,Male
831,Bouziane Beldjilali,Beldjilali,Bouziane,3,Utilisation de la machine cellulaire pour la détection des courriels indésirables.,2011,Male
1372,Brahim Douar,Douar,Brahim,1,Approche hybride de classification supervisée à base de treillis de Galois - application à la reconnaissance de visages.,2008,Male
593,Brieuc Conan-Guez,Conan-Guez,Brieuc,1,K-Spectral Centroïd pour des données massives.,2017,Male
1421,Brigitte Noiret,Noiret,Brigitte,3,Recherche de règles d&apos;association hiérarchiques par une approche anthropocentrée.,2004,Female
1419,Brigitte Trousse,Trousse,Brigitte,2,Prise en compte des &quot;points de vue&quot; pour l&apos;annotation d&apos;un processus d&apos;extraction de connaissances à partir de données.,2005,Female
1420,Brigitte Trousse,Trousse,Brigitte,2,Classification 2-3 hiérarchique de données du Web.,2005,Female
1418,Brigitte Trousse,Trousse,Brigitte,3,Utilisation de métadonnées pour l&apos;aide à l&apos;interprétation de classes et de partitions.,2006,Female
733,Bruno Bouzy,Bouzy,Bruno,1,Extraction bayésienne et intégration de patterns représentés suivant les K plus proches voisins pour le go 19x19.,2005,Male
731,Bruno Canitia,Canitia,Bruno,5,Intégration de contraintes dans les cartes auto-organisatrices.,2008,Male
734,Bruno Crémilleux,Crémilleux,Bruno,2,Prédiction de la biodégradabilité des composés chimiques - un apport des méthodes d&apos;arbre de décision.,2001,Male
726,Bruno Crémilleux,Crémilleux,Bruno,1,Qualité et complexité en évaluation des mesures d&apos;intérêt.,2015,Male
730,Bruno Debray,Debray,Bruno,3,Ontologies et raisonnement à partir de cas - Application à l&apos;analyse des risques industriels.,2008,Male
732,Bruno Defude,Defude,Bruno,2,Définition et diffusion de signatures sémantiques dans les systèmes pair-à-pair.,2006,Male
727,Bruno Fiés,Fiés,Bruno,3,Modélisation de documents réglementaires dans le domaine du bâtiment.,2012,Male
729,Bruno Pinaud,Pinaud,Bruno,8,Tulip - a scalable graph visualization framework.,2010,Male
